customer_id,transaction_id,transaction_time,minutes_between_transactions
1,25702,03-02-2024 15:38,17041
1,214,11-02-2024 20:01,11783
1,34174,12-02-2024 03:40,459
1,27388,08-03-2024 19:29,36949
1,35188,09-03-2024 17:31,1322
1,35243,29-03-2024 15:34,28683
1,24533,06-04-2024 09:14,11140
1,46151,19-04-2024 09:40,18746
1,15981,29-04-2024 19:45,15005
1,26788,07-05-2024 09:44,10919
1,39067,09-05-2024 02:54,2470
1,15661,10-05-2024 16:23,2249
1,6817,08-06-2024 11:03,41440
1,18051,13-06-2024 16:59,7556
1,18795,16-07-2024 07:41,46962
1,15549,12-08-2024 17:06,39445
1,18744,28-08-2024 16:44,23018
1,37347,21-10-2024 16:52,77768
1,47566,21-11-2024 08:48,44156
1,32329,13-12-2024 19:23,32315
1,2562,23-12-2024 12:15,13972
1,7643,28-12-2024 20:18,7683
2,18925,22-01-2024 15:10,27041
2,25058,26-01-2024 13:10,5640
2,21005,03-02-2024 13:34,11544
2,26003,17-03-2024 07:14,61540
2,34411,06-05-2024 13:51,72397
2,41843,14-05-2024 10:48,11337
2,34243,29-05-2024 04:05,21197
2,10960,05-07-2024 08:42,53557
2,39822,24-07-2024 23:27,28245
2,26419,01-08-2024 08:11,10604
2,31213,27-08-2024 17:12,37981
2,8901,15-09-2024 15:46,27274
2,3811,16-10-2024 16:47,44701
2,26334,06-11-2024 21:27,30520
2,40572,27-11-2024 13:24,29757
3,5477,16-02-2024 09:01,891
3,18993,16-02-2024 13:00,239
3,16502,24-04-2024 23:49,98569
3,47785,25-04-2024 15:08,919
3,37746,06-05-2024 20:16,16148
3,39767,16-05-2024 12:49,13953
3,36997,25-05-2024 20:09,13400
3,42745,07-06-2024 08:45,18036
3,34423,18-06-2024 18:32,16427
3,44813,28-06-2024 09:32,13860
3,44254,09-07-2024 07:54,15742
3,18172,23-07-2024 19:43,20869
3,33377,25-07-2024 00:35,1732
3,3852,28-08-2024 08:05,49410
3,9369,19-09-2024 05:30,31525
3,20750,29-09-2024 12:34,14824
3,2977,23-10-2024 04:52,34098
3,35069,27-10-2024 15:18,6386
3,14360,18-12-2024 19:39,75141
3,35906,19-12-2024 07:03,684
4,15528,14-01-2024 08:50,2566
4,72,19-01-2024 00:24,6694
4,23815,22-02-2024 15:26,49862
4,28626,11-04-2024 15:21,70555
4,12974,18-04-2024 23:11,10550
4,47874,01-05-2024 08:18,17827
4,33001,08-05-2024 18:33,10695
4,27595,08-05-2024 18:38,5
4,39138,10-05-2024 00:04,1766
4,23834,27-05-2024 12:03,25199
4,6461,14-06-2024 12:28,25945
4,12190,17-06-2024 11:07,4239
4,36235,03-10-2024 21:27,156140
4,33262,16-10-2024 15:03,18336
4,40276,28-10-2024 17:12,17409
4,45318,23-11-2024 20:23,37631
4,716,23-12-2024 08:49,42506
5,31222,06-02-2024 14:57,29712
5,15138,08-02-2024 14:57,2880
5,27847,03-04-2024 14:00,79143
5,29939,18-04-2024 08:29,21269
5,11749,22-04-2024 10:53,5904
5,17712,22-04-2024 11:46,53
5,49811,24-04-2024 16:34,3168
5,3807,08-05-2024 08:56,19702
5,19521,22-05-2024 12:12,20356
5,32408,13-07-2024 15:14,75062
5,42118,22-07-2024 16:31,13037
5,17740,30-07-2024 15:47,11476
5,9916,21-08-2024 12:18,31471
5,49964,22-08-2024 10:56,1358
5,7977,16-09-2024 15:46,36290
5,34467,28-09-2024 05:15,16649
5,4539,06-10-2024 12:02,11927
5,20160,10-10-2024 14:12,5890
5,35283,17-11-2024 20:30,55098
5,21222,25-11-2024 08:29,10799
5,7324,28-11-2024 16:21,4792
5,47413,08-12-2024 09:17,13976
5,43509,14-12-2024 20:12,9295
6,29998,15-01-2024 10:47,8831
6,15897,22-01-2024 12:53,10206
6,41626,08-02-2024 04:53,24000
6,32998,28-02-2024 14:15,29362
6,25082,31-03-2024 17:32,46277
6,10135,10-04-2024 15:02,14250
6,12651,02-06-2024 11:21,76099
6,23217,14-07-2024 18:27,60906
6,42877,13-08-2024 09:06,42639
6,36292,06-10-2024 08:15,77709
6,17131,12-10-2024 00:04,8149
7,47826,09-01-2024 06:53,5405
7,25884,26-01-2024 12:27,24814
7,7381,05-02-2024 09:23,14216
7,28215,17-02-2024 12:31,17468
7,44640,21-02-2024 09:44,5593
7,1610,26-02-2024 20:07,7823
7,46698,11-03-2024 09:05,19498
7,44439,26-03-2024 20:42,22297
7,46061,04-04-2024 12:37,12475
7,32395,03-05-2024 19:25,42168
7,12321,11-06-2024 12:01,55716
7,6751,14-07-2024 20:45,48044
7,7819,25-09-2024 02:55,104050
7,8274,21-10-2024 13:18,38063
7,9849,25-10-2024 13:12,5754
7,36447,02-11-2024 12:08,11456
7,4141,13-11-2024 16:29,16101
7,5901,14-11-2024 10:52,1103
8,47235,20-01-2024 06:03,9458
8,24829,06-02-2024 16:27,25104
8,31062,22-02-2024 16:07,23020
8,49556,23-02-2024 17:13,1506
8,48372,10-03-2024 16:01,22968
8,42209,19-03-2024 09:12,12551
8,49290,29-03-2024 08:58,14386
8,2925,12-07-2024 00:53,150715
8,6695,08-08-2024 17:03,39850
8,47214,08-08-2024 18:39,96
8,34533,16-08-2024 20:47,11648
8,38678,24-08-2024 16:19,11252
8,25551,28-08-2024 13:32,5593
8,49324,13-09-2024 18:49,23357
8,47869,21-10-2024 01:38,53689
8,27200,17-11-2024 11:58,39500
8,35017,02-12-2024 18:24,21986
8,46886,02-12-2024 19:16,52
8,6680,13-12-2024 18:04,15768
9,34457,22-01-2024 13:20,27226
9,36171,02-03-2024 03:23,57003
9,35475,14-04-2024 18:23,62820
9,39310,08-05-2024 14:32,34329
9,41741,28-05-2024 07:58,28406
9,16477,15-07-2024 04:09,68891
9,44942,24-07-2024 12:54,13485
9,41657,31-07-2024 16:53,10319
9,21100,18-08-2024 12:15,25642
9,16019,02-09-2024 15:41,21806
9,3520,08-09-2024 13:39,8518
9,13612,16-09-2024 16:35,11696
9,16293,23-09-2024 13:15,9880
9,36961,02-10-2024 16:55,13180
9,48909,24-11-2024 15:25,76230
9,46390,26-11-2024 04:20,2215
9,2267,03-12-2024 07:49,10289
9,16548,26-12-2024 19:07,33798
10,8493,12-02-2024 06:08,24103
10,41938,10-03-2024 17:16,39548
10,10824,26-03-2024 20:11,23215
10,33177,18-04-2024 17:40,32969
10,33915,03-06-2024 01:02,65242
10,3412,21-06-2024 12:19,26597
10,31815,16-07-2024 10:57,35918
10,4015,28-07-2024 14:06,17469
10,17022,16-08-2024 01:23,26597
10,36546,02-09-2024 10:07,25004
10,37773,12-09-2024 04:49,14082
10,11930,25-09-2024 10:40,19071
10,30413,10-10-2024 08:18,21458
11,42342,12-01-2024 04:16,4413
11,17933,17-02-2024 05:09,51893
11,48314,22-02-2024 12:21,7632
11,15168,04-04-2024 06:41,60140
11,5529,11-04-2024 04:12,9931
11,40704,12-04-2024 16:47,2195
11,22620,22-04-2024 11:31,14084
11,22064,05-05-2024 00:38,18067
11,21458,09-05-2024 09:42,6304
11,33438,10-05-2024 15:41,1799
11,1782,19-05-2024 08:42,12541
11,10774,28-05-2024 11:11,13109
11,634,29-05-2024 16:39,1768
11,37576,22-06-2024 19:11,34712
11,9067,04-08-2024 10:24,61393
11,23254,11-08-2024 19:27,10623
11,17349,01-09-2024 18:09,30162
11,33884,30-09-2024 15:18,41589
11,37121,21-10-2024 13:26,30128
11,23615,28-10-2024 01:32,9366
11,1630,14-11-2024 19:51,25579
11,30207,24-11-2024 09:15,13764
11,39534,29-11-2024 04:32,6917
11,43057,30-12-2024 06:26,44754
12,555,23-01-2024 17:28,17685
12,43859,26-01-2024 23:34,4686
12,40459,04-02-2024 08:20,12046
12,45025,15-03-2024 18:17,58197
12,18736,22-03-2024 01:17,9060
12,28488,25-03-2024 14:05,5088
12,37193,24-04-2024 15:58,43313
12,30425,25-04-2024 11:48,1190
12,17451,06-05-2024 08:07,15619
12,33574,15-05-2024 19:08,13621
12,14377,26-05-2024 14:50,15582
12,29397,10-07-2024 14:51,64801
12,22597,16-07-2024 18:46,8875
12,6444,30-07-2024 17:46,20100
12,31117,24-08-2024 16:08,35902
12,22261,25-08-2024 11:53,1185
12,19847,29-08-2024 13:35,5862
12,38957,27-09-2024 11:37,41642
12,31540,27-10-2024 15:11,43414
12,40149,01-11-2024 20:25,7514
12,16062,23-11-2024 22:00,31775
12,42512,06-12-2024 10:48,18048
12,1332,08-12-2024 00:14,2246
12,3189,12-12-2024 03:09,5935
13,14848,07-02-2024 04:42,20608
13,13091,27-02-2024 17:19,29557
13,30375,06-03-2024 06:30,10871
13,8486,12-03-2024 18:04,9334
13,3843,19-04-2024 16:21,54617
13,10036,23-04-2024 23:52,6211
13,31189,07-05-2024 22:23,20071
13,2350,18-05-2024 09:30,15067
13,32310,05-06-2024 13:49,26179
13,39257,07-06-2024 18:06,3137
13,28248,16-06-2024 06:14,12248
13,18148,16-06-2024 14:31,497
13,24953,18-06-2024 16:00,2969
13,2258,20-06-2024 10:18,2538
13,35399,20-06-2024 20:27,609
13,22305,27-06-2024 18:58,9991
13,7557,29-06-2024 16:41,2743
13,484,12-07-2024 09:16,18275
13,39677,10-08-2024 19:54,42398
13,11124,30-08-2024 10:03,28209
13,23733,01-10-2024 01:31,45568
13,45981,07-10-2024 13:56,9385
13,13886,08-10-2024 08:05,1089
13,46231,08-10-2024 09:11,66
13,6095,14-10-2024 16:09,9058
13,37170,14-10-2024 16:15,6
13,13592,27-10-2024 15:16,18661
13,40069,08-11-2024 13:11,17155
13,24021,22-11-2024 08:11,19860
14,891,20-01-2024 04:26,22810
14,5485,30-01-2024 09:50,14724
14,41011,04-02-2024 13:28,7418
14,30109,17-02-2024 09:26,18478
14,3440,11-03-2024 23:39,33973
14,27809,15-03-2024 03:14,4535
14,31641,26-03-2024 14:58,16544
14,15117,28-03-2024 12:22,2724
14,49577,05-04-2024 06:54,11192
14,36170,10-05-2024 12:00,50706
14,13559,14-07-2024 00:22,92902
14,47875,19-07-2024 04:21,7439
14,46111,01-09-2024 02:07,63226
14,8035,09-09-2024 11:35,12088
14,44684,03-12-2024 13:23,122508
15,23522,16-01-2024 06:27,19453
15,7797,31-01-2024 20:29,22442
15,231,03-02-2024 19:00,4231
15,36223,23-02-2024 13:53,28493
15,48747,27-03-2024 06:46,47093
15,37026,05-04-2024 15:19,13473
15,6871,07-05-2024 22:10,46491
15,2684,11-05-2024 16:35,5425
15,8075,02-07-2024 09:41,74466
15,4485,14-07-2024 18:33,17812
15,38253,16-07-2024 00:40,1807
15,7457,31-07-2024 10:09,22169
15,11919,17-08-2024 12:04,24595
15,23444,16-09-2024 13:53,43309
15,17138,20-09-2024 08:07,5414
15,4218,21-09-2024 20:48,2201
15,25495,03-10-2024 08:46,16558
15,18761,06-10-2024 12:52,4566
15,31050,09-10-2024 21:13,4821
