card_id,customer_id,card_type,credit_limit,status
24413979-d117-4cfa-a126-b13e6105cf90,1,Credit,894165831.41,Active
291fc0e1-71af-4927-8c05-567589aeafd6,1,Debit,201159011.66,Active
14c60b26-6e48-4139-8550-68336626273e,2,Credit,111554180.56,Active
67eeca12-aaf2-4984-ac3d-21c65df572e5,2,Debit,27108390.92,Active
45fc0555-8d0b-4d44-886b-6fe605fe34a0,3,Debit,419474889.51,Active
97071517-50e1-411b-bd4c-66ba905b3b19,4,Debit,98724204.58,Active
2af61beb-d20d-43af-81e3-7e74b6f26945,4,Debit,98724204.58,Active
ea517eab-6444-40ba-96d5-a0cea9bae292,5,Debit,38645412.06,Active
8f1685a8-620f-489b-b9d6-67629ea63c76,6,Debit,173043364.23,Active
edf1df89-8632-493a-ab74-325c567ac621,6,Credit,792881246.4,Active
71b7877b-6402-4fcb-920e-9b1f78948b5d,7,Debit,69297365.14,Active
c42eae08-592a-42be-8920-95e155ea09e1,8,Credit,1800380797.59,Active
1eb1bbcc-3643-48b5-aa99-38ebfbee5f25,9,Debit,235067905.9,Active
8d2cbe2a-71dc-4502-b217-9b7e929c85a5,10,Credit,209254684.72,Active
e5481e2c-d770-409a-a5b2-eda404809f6c,10,Debit,43463527.51,Active
d52f0242-08d7-4805-bf5d-b0ce5290ac89,11,Credit,174923682.58,Active
77c2becc-8ccb-47cf-abf4-07d1f3d55f55,12,Debit,31126258.93,Active
274e5aa8-e241-4466-9453-737ce82fd683,13,Debit,23702266.01,Active
e2ee7c8f-6d19-4436-88d7-fbf5873e4b5f,14,Credit,103010949.38,Active
13094a92-3766-42b6-ab5d-05a042c2947d,14,Debit,32575932.35,Active
c8d450fd-2713-48d5-a9e6-97b80f70e424,15,Credit,143935657.48,Active
1f5f44ac-529c-48b0-8d4b-1160281c0e6e,15,Debit,48719666.82,Active
512b891a-a425-47e5-8e75-cc5126fb583a,16,Credit,82769029.02,Active
404c3005-9b5a-4e42-826e-4427ef29538d,16,Debit,26629758.12,Active
663e8c50-f488-4fb2-871c-d9f93b0c31df,17,Debit,41436313.57,Active
96f371a5-efa2-4f99-a1b8-f95445a69eac,18,Debit,11900254.91,Active
b0648e81-28e0-402f-af80-bf6458f00630,19,Debit,270811461.26,Active
7a82e166-ffce-4476-b696-59f056bca0f0,20,Debit,47767803.02,Active
178a59f1-bf1b-46ce-8d60-9dcb7b2b19f2,20,Credit,202781184.01,Active
fac249b2-4ebf-443d-a06c-78db28dcb989,21,Debit,17452225.66,Active
45706f2f-b22f-4562-b282-ad4459dbe97c,22,Debit,21277655.8,Active
6ee55fab-3e17-4660-bcb3-e36a84f3ab94,23,Debit,38854005.21,Active
91da51cd-b0a8-4cc1-8e7d-292f384a1841,23,Debit,38854005.21,Active
2f45e952-0bff-4915-aab1-7c8825b234e3,24,Debit,127383218.71,Active
e1cc6f80-9d7b-46ea-a34d-1681ec2edb52,24,Debit,127383218.71,Active
8b17da0f-7327-490d-823a-cc1e455b84e6,25,Debit,92685353.58,Active
442ae619-b4fc-4a3b-8c35-b240040bd8d6,25,Debit,92685353.58,Active
2e4bf2a3-2395-406e-91b0-9a7a0072f246,26,Debit,74334664.81,Active
a3789a9b-2c47-40e5-accf-fa78adf648cb,27,Debit,344999000.5,Active
667a6f07-43d3-4984-933e-8af5ac0de3c4,27,Debit,344999000.5,Active
af13f187-0039-4c9f-b4ba-f3e198242a91,28,Debit,95348132.9,Active
e986cdbb-f733-470a-9627-5327bb57e831,28,Debit,95348132.9,Active
ad156180-badb-49c1-ac13-b68f989cb478,29,Debit,50699136.26,Active
112ab292-ee68-4d17-b807-5556bd6e6110,29,Debit,50699136.26,Active
779d5dd3-71d0-4902-b50d-c03d35b8708a,30,Debit,8910958.85,Active
9b4cea5f-fef0-4f98-96b1-700eb6dac5dd,31,Debit,40723117.54,Active
0f5e623f-7517-4db8-ad3d-ea0383e31f00,32,Debit,194489516.52,Active
3e33e5ce-a950-4ac0-a716-a3c127f1f1b3,33,Debit,219541178.99,Active
e5a12049-5c6b-4bbc-ad00-d442a415b0d1,33,Debit,219541178.99,Active
73e927d5-4258-45a5-8a96-35760934a14e,34,Credit,308324263.7,Blocked
323d1989-1c1f-4f29-82cf-3e3e6bcd63fe,34,Credit,339271231.01,Active
041567cb-14c5-4451-95e9-7381a11f9638,35,Debit,39102523.43,Active
887ed64d-0c5b-492c-91f2-e780d14854f9,36,Debit,31159126.44,Active
